,ID,TypeGefailleerde,RegioS,Perioden,UitgesprokenFaillissementen_1
1984,1984,"Bedrijven, instellingen en eenmanszaken",Groningen,2016 februari,9.0
1985,1985,"Bedrijven, instellingen en eenmanszaken",Groningen,2016 maart,7.0
1986,1986,"Bedrijven, instellingen en eenmanszaken",Groningen,2016 1e kwartaal,20.0
1987,1987,"Bedrijven, instellingen en eenmanszaken",Groningen,2016 april,12.0
1988,1988,"Bedrijven, instellingen en eenmanszaken",Groningen,2016 mei,11.0
1989,1989,"Bedrijven, instellingen en eenmanszaken",Groningen,2016 juni,13.0
1990,1990,"Bedrijven, instellingen en eenmanszaken",Groningen,2016 2e kwartaal,36.0
1991,1991,"Bedrijven, instellingen en eenmanszaken",Groningen,2016 juli,13.0
1992,1992,"Bedrijven, instellingen en eenmanszaken",Groningen,2016 augustus,5.0
1993,1993,"Bedrijven, instellingen en eenmanszaken",Groningen,2016 september,5.0
1994,1994,"Bedrijven, instellingen en eenmanszaken",Groningen,2016 3e kwartaal,23.0
1995,1995,"Bedrijven, instellingen en eenmanszaken",Groningen,2016 oktober,4.0
1996,1996,"Bedrijven, instellingen en eenmanszaken",Groningen,2016 november,7.0
1997,1997,"Bedrijven, instellingen en eenmanszaken",Groningen,2016 december,9.0
1998,1998,"Bedrijven, instellingen en eenmanszaken",Groningen,2016 4e kwartaal,20.0
1999,1999,"Bedrijven, instellingen en eenmanszaken",Groningen,2016,99.0
2000,2000,"Bedrijven, instellingen en eenmanszaken",Groningen,2017 januari,14.0
2001,2001,"Bedrijven, instellingen en eenmanszaken",Groningen,2017 februari,11.0
2002,2002,"Bedrijven, instellingen en eenmanszaken",Groningen,2017 maart,6.0
2003,2003,"Bedrijven, instellingen en eenmanszaken",Groningen,2017 1e kwartaal,31.0
2004,2004,"Bedrijven, instellingen en eenmanszaken",Groningen,2017 april,12.0
2005,2005,"Bedrijven, instellingen en eenmanszaken",Groningen,2017 mei,12.0
2006,2006,"Bedrijven, instellingen en eenmanszaken",Groningen,2017 juni,11.0
2007,2007,"Bedrijven, instellingen en eenmanszaken",Groningen,2017 2e kwartaal,35.0
2008,2008,"Bedrijven, instellingen en eenmanszaken",Groningen,2017 juli,4.0
2009,2009,"Bedrijven, instellingen en eenmanszaken",Groningen,2017 augustus,8.0
2010,2010,"Bedrijven, instellingen en eenmanszaken",Groningen,2017 september,7.0
2011,2011,"Bedrijven, instellingen en eenmanszaken",Groningen,2017 3e kwartaal,19.0
2012,2012,"Bedrijven, instellingen en eenmanszaken",Groningen,2017 oktober,6.0
2013,2013,"Bedrijven, instellingen en eenmanszaken",Groningen,2017 november,5.0
2014,2014,"Bedrijven, instellingen en eenmanszaken",Groningen,2017 december,14.0
2015,2015,"Bedrijven, instellingen en eenmanszaken",Groningen,2017 4e kwartaal,25.0
2016,2016,"Bedrijven, instellingen en eenmanszaken",Groningen,2017,110.0
2017,2017,"Bedrijven, instellingen en eenmanszaken",Groningen,2018 januari,4.0
2018,2018,"Bedrijven, instellingen en eenmanszaken",Groningen,2018 februari,10.0
2019,2019,"Bedrijven, instellingen en eenmanszaken",Groningen,2018 maart,7.0
2020,2020,"Bedrijven, instellingen en eenmanszaken",Groningen,2018 1e kwartaal,21.0
2021,2021,"Bedrijven, instellingen en eenmanszaken",Groningen,2018 april,14.0
2022,2022,"Bedrijven, instellingen en eenmanszaken",Groningen,2018 mei,8.0
